Resource Title,Resource Type,Evidence Classification,Language Program,Grade Filter,For Multilingual Learners (MLL),Tier(s),Related Screener(s),Related Subtest(s),Literacy Pillar(s),URL
Heggerty – Bridge The Gap (2-12),Intervention,Research Based,English,"2,3,4,5,6,7,8,9,10,11,12",No,"Tier 2,Tier 3",CTOPP-2 | DIBELS,Blending | Elision | Phonemic Segmentation Fluency,Phonemic Awareness,https://shop.heggerty.org/shop-products/?_topic_category_facet=phonemic-awareness-intervention
Heggerty – Letter Name Sounds (3-8),Drill Down Assessment,Not specified,English,"3,4,5,6,7,8",No,"Tier 2,Tier 3",DIBELS,Letter Naming Fluency,Alphabetic Principle,https://lrsdcdn.sharepoint.com/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Forms/AllItems.aspx?id=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FStructured%20Literacy%2FAssessments%20%26%20Interventions%2FPhonological%20Awareness%2FHeggerty%20Assessments%2FLetter%2DNames%2DSounds%2DAssessment%2E2020%2D1%2Epdf&parent=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FStructured%20Literacy%2FAssessments%20%26%20Interventions%2FPhonological%20Awareness%2FHeggerty%20Assessments
Heggerty – Phonemic Awareness Screener (3-12),Drill Down Assessment,Not specified,English,"3,4,5,6,7,8,9,10,11,12",No,"Tier 2,Tier 3",CTOPP-2 | DIBELS,Blending | Elision | Phonemic Segmentation Fluency,Phonemic Awareness,https://lrsdcdn.sharepoint.com/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Forms/AllItems.aspx?id=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FStructured%20Literacy%2FAssessments%20%26%20Interventions%2FPhonological%20Awareness%2FHeggerty%20Assessments%2FPA%2DScreener%2E2020%2Epdf&parent=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FStructured%20Literacy%2FAssessments%20%26%20Interventions%2FPhonological%20Awareness%2FHeggerty%20Assessments
Inventaires d’orthographe,Drill Down Assessment,Not specified,French,,No,Tier 2,THaFoL,Facilité à lire des mots | Facilité à lire des non-mots,Phonics,https://lrsdcdn.sharepoint.com/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Forms/AllItems.aspx?csf=1&web=1&e=kLXR42&CID=c3191924%2D1b8e%2D4da4%2D8ad5%2De76af0854b8b&FolderCTID=0x012000F20499129962D74E9046ECDF35332B03&id=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FLitt%C3%A9ratie%20structur%C3%A9e%2FLes%20%C3%A9valuations%20et%20les%20interventions%2FPhon%C3%A9tique%2FInventaire%20d%27orthographe%20M%2D12
Kilpatrick PAST Assessment (3-12),Drill Down Assessment,Not specified,English,"3,4,5,6,7,8,9,10,11,12",No,"Tier 2,Tier 3",CTOPP-2 | DIBELS,Blending | Elision | Phonemic Segmentation Fluency,Phonemic Awareness,https://lrsdcdn.sharepoint.com/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Forms/AllItems.aspx?newTargetListUrl=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy&viewpath=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FForms%2FAllItems%2Easpx&id=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FStructured%20Literacy%2FAssessments%20%26%20Interventions%2FPhonological%20Awareness%2FKilpatrick%20Assessment&viewid=46f2e15a%2D621a%2D4c2d%2Da473%2D2d8c27980932
Kilpatrick – activités 1 minute,Instructional Resource | Intervention,Not specified,French,,No,"Tier 1,Tier 2",No screener identified,No subtest identified,Phonemic Awareness,https://lrsdcdn.sharepoint.com/:b:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Litt%C3%A9ratie%20structur%C3%A9e/La%20conscience%20phonologique/Kilpatrick%20-%20Activit%C3%A9s%20d%27une%20minute%20en%20fran%C3%A7ais.pdf?csf=1&web=1&e=qEKdG8
Kilpatrick – Equipped for Reading Success (K-2; 3-12),Instructional Resource | Intervention,Research Based,English,"K,1,2,3,4,5,6,7,8,9,10,11,12",No,"Tier 1,Tier 2,Tier 3",CTOPP-2 | DIBELS,Blending | Elision | Phonemic Segmentation Fluency,Phonemic Awareness,https://equippedforreadingsuccess.com/
Les leçons du CBE (K-6; 3-12),Instructional Resource | Intervention,Not specified,French,"K,1,2,3,4,5,6,7,8,9,10,11,12",No,"Tier 1,Tier 2",IDAPEL | THaFoL,Facilité en lecture orale | Facilité à lire des mots | Facilité à lire des non-mots | Facilité à nommer des lettres,Alphabetic Principle | Orthography | Phonics | Reading Comprehension | Reading Fluency | Vocabulary,https://lrsdcdn.sharepoint.com/:f:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Litt%C3%A9ratie%20structur%C3%A9e/La%20phon%C3%A9tique/Le%C3%A7ons%20du%20CBE%20M-7e%20ann%C3%A9e?csf=1&web=1&e=jb0IaL
Lexia Core 5 (2-5),Intervention,Evidence Based,English,"2,3,4,5",No,Tier 2,CTOPP-2 | DIBELS,Blending | Elision | Maze | Nonsense Word Fluency: Correct Letter Sounds | Nonsense Word Fluency: Words Read Correctly | Oral Reading Fluency: Accuracy | Oral Reading Fluency: Words Correct | Phonemic Segmentation Fluency | Word Reading Fluency,Phonemic Awareness | Phonics | Reading Comprehension | Reading Fluency | Vocabulary,
Lexia PowerUp (6-12),Intervention,Evidence Based,English,"6,7,8,9,10,11,12",No,Tier 2,DIBELS,Maze | Nonsense Word Fluency: Correct Letter Sounds | Nonsense Word Fluency: Words Read Correctly | Oral Reading Fluency: Accuracy | Oral Reading Fluency: Words Correct | Word Reading Fluency,Phonics | Reading Comprehension | Reading Fluency | Vocabulary,
